id;2.1;2.2;2.3;2.4;3.1;3.2;3.3;3.4;4.1;4.2;4.3;4.4;5.1;5.2;5.3;6.1;6.2;6.3;6.4;6.5;6.6;6.7;7.1;7.2;7.3;7.4;7.5;7.6;7.7;7.8;7.9;7.10;7.11;7.12;7.13;7.14;7.15;7.16;7.17;7.18;;;;
1;2;1;0;;3;0;0;2;0;1;1;1;1;0;1;2;0;0;;0;0;1;1;2;2;1;1;1;1;1;1;1;1;1;2;1;1;2;2;1;;;;
2;2;1;0;;5;1;1;;1;1;0;0;0;0;1;2;1;1;0;0;0;1;1;2;2;1;2;2;1;1;1;2;1;2;2;2;2;2;2;1;;;;
3;2;1;1;2;4;1;1;;1;1;0;0;1;0;1;2;0;1;0;0;1;0;1;2;1;1;2;2;1;1;1;1;1;1;2;1;1;1;1;1;;;;
4;2;1;0;;5;1;1;;1;0;0;0;0;0;0;2;0;1;0;0;0;0;1;4;4;1;2;1;1;1;1;2;1;2;2;2;2;2;2;2;;;;
5;4;2;0;;5;0;1;;1;1;1;0;0;0;0;2;1;1;0;0;1;0;1;2;2;1;2;1;1;1;2;2;1;2;2;1;2;2;2;1;;;;
6;2;1;0;;5;1;1;;0;1;1;0;0;0;0;2;0;1;0;0;0;1;1;4;2;1;2;1;1;1;1;2;1;1;2;2;2;2;2;2;;;;
7;3;1;1;2;4;1;1;;1;0;0;0;0;0;1;2;1;1;1;0;0;1;1;5;2;1;2;1;1;1;1;2;1;2;2;1;2;2;2;2;;;;
8;2;1;0;;3;1;0;1;1;0;0;0;1;0;0;2;1;1;1;0;0;1;1;2;1;1;2;1;1;2;1;2;1;1;2;2;2;1;2;2;;;;
9;2;1;0;;5;1;1;;0;1;1;0;0;0;0;2;0;0;;1;0;0;1;2;2;1;1;1;1;1;1;1;1;1;2;1;2;2;2;2;;;;
10;1;1;0;;5;1;1;;0;1;1;1;0;1;0;2;0;0;;0;1;0;1;2;4;1;2;2;1;1;1;1;1;1;2;1;1;1;2;1;;;;
11;1;1;0;;5;1;1;;1;1;0;0;0;1;0;2;0;1;1;1;0;0;1;5;2;1;2;1;6;1;2;1;1;1;2;1;2;1;2;1;;;;
